,category,message,cleaned
3087,Larceny/Theft,a person breaking into that apartment,person break apart
3088,Larceny/Theft,a person house,person hous
3089,Larceny/Theft,a person apartment,person apart
3090,Larceny/Theft,a person condo,person condo
3091,Larceny/Theft,a person stole purse,person stole purs
3092,Larceny/Theft,a person stole money,person stole money
3093,Larceny/Theft,a person took phone,person took phone
3094,Larceny/Theft,a person ran off after taking something,person ran take someth
3095,Larceny/Theft,a person stole belongings,person stole belong
3096,Larceny/Theft,a person robbed me,person rob
3097,Larceny/Theft,a person laptop stolen,person laptop stolen
3098,Larceny/Theft,a person computer stolen,person comput stolen
3099,Larceny/Theft,a person took from locked car,person took lock car
3100,Larceny/Theft,a person took credit card,person took credit card
3101,Larceny/Theft,a person stole wallet,person stole wallet
3102,Larceny/Theft,a person shoplifting,person shoplift
3103,Larceny/Theft,a person shop lifted,person shop lift
3104,Larceny/Theft,a person took from store,person took store
3105,Larceny/Theft,a person stole from mall,person stole mall
3106,Larceny/Theft,a person lost it,person lost
3107,Larceny/Theft,a person stolen bike,person stolen bike
3108,Larceny/Theft,a person stolen motercycke,person stolen motercyck
3109,Larceny/Theft,a person burglar,person burglar
3110,Larceny/Theft,a person robbery,person robberi
3111,Larceny/Theft,a person robbed,person rob
3112,Larceny/Theft,a person robbing,person rob
3113,Larceny/Theft,a person robbed me with gun,person rob gun
3114,Larceny/Theft,a person robbed me with knife,person rob knife
3115,Larceny/Theft,a person pickpocket,person pickpocket
3116,Larceny/Theft,My stole my bike,my stole bike
3117,Larceny/Theft,My stole a bike,my stole bike
3118,Larceny/Theft,My bike is gone,my bike gone
3119,Larceny/Theft,My took bike,my took bike
3120,Larceny/Theft,My bike,my bike
3121,Larceny/Theft,My bike lock,my bike lock
3122,Larceny/Theft,My stealing,my steal
3123,Larceny/Theft,My stole,my stole
3124,Larceny/Theft,My broke,my broke
3125,Larceny/Theft,My theft,my theft
3126,Larceny/Theft,My thief,my thief
3127,Larceny/Theft,My steal,my steal
3128,Larceny/Theft,My took it,my took
3129,Larceny/Theft,My car stolen,my car stolen
3130,Larceny/Theft,My car was hijacked,my car hijack
3131,Larceny/Theft,My alarm in a car is going off,my alarm car go
3132,Larceny/Theft,My car is gone,my car gone
3133,Larceny/Theft,My stole car,my stole car
3134,Larceny/Theft,My took car,my took car
3135,Larceny/Theft,My car,my car
3136,Larceny/Theft,My van,my van
3137,Larceny/Theft,My suv,my suv
3138,Larceny/Theft,My tesla,my tesla
3139,Larceny/Theft,My toyota,my toyota
3140,Larceny/Theft,My honda,my honda
3141,Larceny/Theft,My bmw,my bmw
3142,Larceny/Theft,My mercedes,my merced
3143,Larceny/Theft,My truck,my truck
3144,Larceny/Theft,My lock,my lock
3145,Larceny/Theft,My broke lock,my broke lock
3146,Larceny/Theft,My opened door,my open door
3147,Larceny/Theft,My Somebody broke into my house,my somebodi broke hous
3148,Larceny/Theft,My stole something in my apartment,my stole someth apart
3149,Larceny/Theft,My stole something,my stole someth
3150,Larceny/Theft,My stole something in my condo,my stole someth condo
3151,Larceny/Theft,My broke into my apartment,my broke apart
3152,Larceny/Theft,My broke into my condo,my broke condo
3153,Larceny/Theft,My breaking into that house,my break hous
3154,Larceny/Theft,My breaking into that condo,my break condo
3155,Larceny/Theft,My breaking into that apartment,my break apart
3156,Larceny/Theft,My house,my hous
3157,Larceny/Theft,My apartment,my apart
3158,Larceny/Theft,My condo,my condo
3159,Larceny/Theft,My stole purse,my stole purs
3160,Larceny/Theft,My stole money,my stole money
3161,Larceny/Theft,My took phone,my took phone
3162,Larceny/Theft,My ran off after taking something,my ran take someth
3163,Larceny/Theft,My stole belongings,my stole belong
3164,Larceny/Theft,My robbed me,my rob
3165,Larceny/Theft,My laptop stolen,my laptop stolen
3166,Larceny/Theft,My computer stolen,my comput stolen
3167,Larceny/Theft,My took from locked car,my took lock car
3168,Larceny/Theft,My took credit card,my took credit card
3169,Larceny/Theft,My stole wallet,my stole wallet
3170,Larceny/Theft,My shoplifting,my shoplift
3171,Larceny/Theft,My shop lifted,my shop lift
3172,Larceny/Theft,My took from store,my took store
3173,Larceny/Theft,My stole from mall,my stole mall
3174,Larceny/Theft,My lost it,my lost
3175,Larceny/Theft,My stolen bike,my stolen bike
3176,Larceny/Theft,My stolen motercycke,my stolen motercyck
3177,Larceny/Theft,My burglar,my burglar
3178,Larceny/Theft,My robbery,my robberi
3179,Larceny/Theft,My robbed,my rob
3180,Larceny/Theft,My robbing,my rob
3181,Larceny/Theft,My robbed me with gun,my rob gun
3182,Larceny/Theft,My robbed me with knife,my rob knife
3183,Larceny/Theft,My pickpocket,my pickpocket
3184,Larceny/Theft,I stole my bike,i stole bike
3185,Larceny/Theft,I stole a bike,i stole bike
3186,Larceny/Theft,I bike is gone,i bike gone
3187,Larceny/Theft,I took bike,i took bike
3188,Larceny/Theft,I bike,i bike
3189,Larceny/Theft,I bike lock,i bike lock
3190,Larceny/Theft,I stealing,i steal
3191,Larceny/Theft,I stole,i stole
3192,Larceny/Theft,I broke,i broke
3193,Larceny/Theft,I theft,i theft
3194,Larceny/Theft,I thief,i thief
3195,Larceny/Theft,I steal,i steal
3196,Larceny/Theft,I took it,i took
3197,Larceny/Theft,I car stolen,i car stolen
3198,Larceny/Theft,I car was hijacked,i car hijack
3199,Larceny/Theft,I alarm in a car is going off,i alarm car go
3200,Larceny/Theft,I car is gone,i car gone
3201,Larceny/Theft,I stole car,i stole car
3202,Larceny/Theft,I took car,i took car
3203,Larceny/Theft,I car,i car
3204,Larceny/Theft,I van,i van
3205,Larceny/Theft,I suv,i suv
3206,Larceny/Theft,I tesla,i tesla
3207,Larceny/Theft,I toyota,i toyota
3208,Larceny/Theft,I honda,i honda
3209,Larceny/Theft,I bmw,i bmw
3210,Larceny/Theft,I mercedes,i merced
3211,Larceny/Theft,I truck,i truck
3212,Larceny/Theft,I lock,i lock
3213,Larceny/Theft,I broke lock,i broke lock
3214,Larceny/Theft,I opened door,i open door
3215,Larceny/Theft,I Somebody broke into my house,i somebodi broke hous
3216,Larceny/Theft,I stole something in my apartment,i stole someth apart
3217,Larceny/Theft,I stole something,i stole someth
3218,Larceny/Theft,I stole something in my condo,i stole someth condo
3219,Larceny/Theft,I broke into my apartment,i broke apart
3220,Larceny/Theft,I broke into my condo,i broke condo
3221,Larceny/Theft,I breaking into that house,i break hous
3222,Larceny/Theft,I breaking into that condo,i break condo
3223,Larceny/Theft,I breaking into that apartment,i break apart
3224,Larceny/Theft,I house,i hous
3225,Larceny/Theft,I apartment,i apart
3226,Larceny/Theft,I condo,i condo
3227,Larceny/Theft,I stole purse,i stole purs
3228,Larceny/Theft,I stole money,i stole money
3229,Larceny/Theft,I took phone,i took phone
3230,Larceny/Theft,I ran off after taking something,i ran take someth
3231,Larceny/Theft,I stole belongings,i stole belong
3232,Larceny/Theft,I robbed me,i rob
3233,Larceny/Theft,I laptop stolen,i laptop stolen
3234,Larceny/Theft,I computer stolen,i comput stolen
3235,Larceny/Theft,I took from locked car,i took lock car
3236,Larceny/Theft,I took credit card,i took credit card
3237,Larceny/Theft,I stole wallet,i stole wallet
3238,Larceny/Theft,I shoplifting,i shoplift
3239,Larceny/Theft,I shop lifted,i shop lift
3240,Larceny/Theft,I took from store,i took store
3241,Larceny/Theft,I stole from mall,i stole mall
3242,Larceny/Theft,I lost it,i lost
3243,Larceny/Theft,I stolen bike,i stolen bike
3244,Larceny/Theft,I stolen motercycke,i stolen motercyck
3245,Larceny/Theft,I burglar,i burglar
3246,Larceny/Theft,I robbery,i robberi
3247,Larceny/Theft,I robbed,i rob
3248,Larceny/Theft,I robbing,i rob
3249,Larceny/Theft,I robbed me with gun,i rob gun
3250,Larceny/Theft,I robbed me with knife,i rob knife
3251,Larceny/Theft,I pickpocket,i pickpocket
3252,Larceny/Theft,We stole my bike,we stole bike
3253,Larceny/Theft,We stole a bike,we stole bike
3254,Larceny/Theft,We bike is gone,we bike gone
3255,Larceny/Theft,We took bike,we took bike
3256,Larceny/Theft,We bike,we bike
3257,Larceny/Theft,We bike lock,we bike lock
3258,Larceny/Theft,We stealing,we steal
3259,Larceny/Theft,We stole,we stole
3260,Larceny/Theft,We broke,we broke
3261,Larceny/Theft,We theft,we theft
3262,Larceny/Theft,We thief,we thief
3263,Larceny/Theft,We steal,we steal
3264,Larceny/Theft,We took it,we took
3265,Larceny/Theft,We car stolen,we car stolen
3266,Larceny/Theft,We car was hijacked,we car hijack
3267,Larceny/Theft,We alarm in a car is going off,we alarm car go
3268,Larceny/Theft,We car is gone,we car gone
3269,Larceny/Theft,We stole car,we stole car
3270,Larceny/Theft,We took car,we took car
3271,Larceny/Theft,We car,we car
3272,Larceny/Theft,We van,we van
3273,Larceny/Theft,We suv,we suv
3274,Larceny/Theft,We tesla,we tesla
3275,Larceny/Theft,We toyota,we toyota
3276,Larceny/Theft,We honda,we honda
3277,Larceny/Theft,We bmw,we bmw
3278,Larceny/Theft,We mercedes,we merced
3279,Larceny/Theft,We truck,we truck
3280,Larceny/Theft,We lock,we lock
3281,Larceny/Theft,We broke lock,we broke lock
3282,Larceny/Theft,We opened door,we open door
3283,Larceny/Theft,We Somebody broke into my house,we somebodi broke hous
3284,Larceny/Theft,We stole something in my apartment,we stole someth apart
3285,Larceny/Theft,We stole something,we stole someth
3286,Larceny/Theft,We stole something in my condo,we stole someth condo
3287,Larceny/Theft,We broke into my apartment,we broke apart
3288,Larceny/Theft,We broke into my condo,we broke condo
3289,Larceny/Theft,We breaking into that house,we break hous
3290,Larceny/Theft,We breaking into that condo,we break condo
3291,Larceny/Theft,We breaking into that apartment,we break apart
3292,Larceny/Theft,We house,we hous
3293,Larceny/Theft,We apartment,we apart
3294,Larceny/Theft,We condo,we condo
3295,Larceny/Theft,We stole purse,we stole purs
3296,Larceny/Theft,We stole money,we stole money
3297,Larceny/Theft,We took phone,we took phone
3298,Larceny/Theft,We ran off after taking something,we ran take someth
3299,Larceny/Theft,We stole belongings,we stole belong
3300,Larceny/Theft,We robbed me,we rob
3301,Larceny/Theft,We laptop stolen,we laptop stolen
3302,Larceny/Theft,We computer stolen,we comput stolen
3303,Larceny/Theft,We took from locked car,we took lock car
3304,Larceny/Theft,We took credit card,we took credit card
3305,Larceny/Theft,We stole wallet,we stole wallet
3306,Larceny/Theft,We shoplifting,we shoplift
3307,Larceny/Theft,We shop lifted,we shop lift
3308,Larceny/Theft,We took from store,we took store
3309,Larceny/Theft,We stole from mall,we stole mall
3310,Larceny/Theft,We lost it,we lost
3311,Larceny/Theft,We stolen bike,we stolen bike
3312,Larceny/Theft,We stolen motercycke,we stolen motercyck
3313,Larceny/Theft,We burglar,we burglar
3314,Larceny/Theft,We robbery,we robberi
3315,Larceny/Theft,We robbed,we rob
3316,Larceny/Theft,We robbing,we rob
3317,Larceny/Theft,We robbed me with gun,we rob gun
3318,Larceny/Theft,We robbed me with knife,we rob knife
3319,Larceny/Theft,We pickpocket,we pickpocket
3320,Larceny/Theft,menstole my bike,menstol bike
3321,Larceny/Theft,menstole a bike,menstol bike
3322,Larceny/Theft,menbike is gone,menbik gone
3323,Larceny/Theft,mentook bike,mentook bike
3324,Larceny/Theft,menbike,menbik
3325,Larceny/Theft,menbike lock,menbik lock
3326,Larceny/Theft,menstealing,mensteal
3327,Larceny/Theft,menstole,menstol
3328,Larceny/Theft,menbroke,menbrok
3329,Larceny/Theft,mentheft,mentheft
3330,Larceny/Theft,menthief,menthief
3331,Larceny/Theft,mensteal,mensteal
3332,Larceny/Theft,mentook it,mentook
3333,Larceny/Theft,mencar stolen,mencar stolen
3334,Larceny/Theft,mencar was hijacked,mencar hijack
3335,Larceny/Theft,menalarm in a car is going off,menalarm car go
3336,Larceny/Theft,mencar is gone,mencar gone
3337,Larceny/Theft,menstole car,menstol car
3338,Larceny/Theft,mentook car,mentook car
3339,Larceny/Theft,mencar,mencar
3340,Larceny/Theft,menvan,menvan
3341,Larceny/Theft,mensuv,mensuv
3342,Larceny/Theft,mentesla,mentesla
3343,Larceny/Theft,mentoyota,mentoyota
3344,Larceny/Theft,menhonda,menhonda
3345,Larceny/Theft,menbmw,menbmw
3346,Larceny/Theft,menmercedes,menmerced
3347,Larceny/Theft,mentruck,mentruck
3348,Larceny/Theft,menlock,menlock
3349,Larceny/Theft,menbroke lock,menbrok lock
3350,Larceny/Theft,menopened door,menopen door
3351,Larceny/Theft,menSomebody broke into my house,mensomebodi broke hous
3352,Larceny/Theft,menstole something in my apartment,menstol someth apart
3353,Larceny/Theft,menstole something,menstol someth
3354,Larceny/Theft,menstole something in my condo,menstol someth condo
3355,Larceny/Theft,menbroke into my apartment,menbrok apart
3356,Larceny/Theft,menbroke into my condo,menbrok condo
3357,Larceny/Theft,menbreaking into that house,menbreak hous
3358,Larceny/Theft,menbreaking into that condo,menbreak condo
3359,Larceny/Theft,menbreaking into that apartment,menbreak apart
3360,Larceny/Theft,menhouse,menhous
3361,Larceny/Theft,menapartment,menapart
3362,Larceny/Theft,mencondo,mencondo
3363,Larceny/Theft,menstole purse,menstol purs
3364,Larceny/Theft,menstole money,menstol money
3365,Larceny/Theft,mentook phone,mentook phone
3366,Larceny/Theft,menran off after taking something,menran take someth
3367,Larceny/Theft,menstole belongings,menstol belong
3368,Larceny/Theft,menrobbed me,menrob
3369,Larceny/Theft,menlaptop stolen,menlaptop stolen
3370,Larceny/Theft,mencomputer stolen,mencomput stolen
3371,Larceny/Theft,mentook from locked car,mentook lock car
3372,Larceny/Theft,mentook credit card,mentook credit card
3373,Larceny/Theft,menstole wallet,menstol wallet
3374,Larceny/Theft,menshoplifting,menshoplift
3375,Larceny/Theft,menshop lifted,menshop lift
3376,Larceny/Theft,mentook from store,mentook store
3377,Larceny/Theft,menstole from mall,menstol mall
3378,Larceny/Theft,menlost it,menlost
3379,Larceny/Theft,menstolen bike,menstolen bike
3380,Larceny/Theft,menstolen motercycke,menstolen motercyck
3381,Larceny/Theft,menburglar,menburglar
3382,Larceny/Theft,menrobbery,menrobberi
3383,Larceny/Theft,menrobbed,menrob
3384,Larceny/Theft,menrobbing,menrob
3385,Larceny/Theft,menrobbed me with gun,menrob gun
3386,Larceny/Theft,menrobbed me with knife,menrob knife
3387,Larceny/Theft,menpickpocket,menpickpocket
3388,Larceny/Theft,womenstole my bike,womenstol bike
3389,Larceny/Theft,womenstole a bike,womenstol bike
3390,Larceny/Theft,womenbike is gone,womenbik gone
3391,Larceny/Theft,womentook bike,womentook bike
3392,Larceny/Theft,womenbike,womenbik
3393,Larceny/Theft,womenbike lock,womenbik lock
3394,Larceny/Theft,womenstealing,womenst
3395,Larceny/Theft,womenstole,womenstol
3396,Larceny/Theft,womenbroke,womenbrok
3397,Larceny/Theft,womentheft,womentheft
3398,Larceny/Theft,womenthief,womenthief
3399,Larceny/Theft,womensteal,womenst
3400,Larceny/Theft,womentook it,womentook
3401,Larceny/Theft,womencar stolen,womencar stolen
3402,Larceny/Theft,womencar was hijacked,womencar hijack
3403,Larceny/Theft,womenalarm in a car is going off,womenalarm car go
3404,Larceny/Theft,womencar is gone,womencar gone
3405,Larceny/Theft,womenstole car,womenstol car
3406,Larceny/Theft,womentook car,womentook car
3407,Larceny/Theft,womencar,womencar
3408,Larceny/Theft,womenvan,womenvan
3409,Larceny/Theft,womensuv,womensuv
3410,Larceny/Theft,womentesla,womentesla
3411,Larceny/Theft,womentoyota,womentoyota
3412,Larceny/Theft,womenhonda,womenhonda
3413,Larceny/Theft,womenbmw,womenbmw
3414,Larceny/Theft,womenmercedes,womenmerced
3415,Larceny/Theft,womentruck,womentruck
3416,Larceny/Theft,womenlock,womenlock
3417,Larceny/Theft,womenbroke lock,womenbrok lock
3418,Larceny/Theft,womenopened door,womenopen door
3419,Larceny/Theft,womenSomebody broke into my house,womensomebodi broke hous
3420,Larceny/Theft,womenstole something in my apartment,womenstol someth apart
3421,Larceny/Theft,womenstole something,womenstol someth
3422,Larceny/Theft,womenstole something in my condo,womenstol someth condo
3423,Larceny/Theft,womenbroke into my apartment,womenbrok apart
3424,Larceny/Theft,womenbroke into my condo,womenbrok condo
3425,Larceny/Theft,womenbreaking into that house,womenbreak hous
3426,Larceny/Theft,womenbreaking into that condo,womenbreak condo
3427,Larceny/Theft,womenbreaking into that apartment,womenbreak apart
3428,Larceny/Theft,womenhouse,womenhous
3429,Larceny/Theft,womenapartment,womenapart
3430,Larceny/Theft,womencondo,womencondo
3431,Larceny/Theft,womenstole purse,womenstol purs
3432,Larceny/Theft,womenstole money,womenstol money
3433,Larceny/Theft,womentook phone,womentook phone
3434,Larceny/Theft,womenran off after taking something,womenran take someth
3435,Larceny/Theft,womenstole belongings,womenstol belong
3436,Larceny/Theft,womenrobbed me,womenrob
3437,Larceny/Theft,womenlaptop stolen,womenlaptop stolen
3438,Larceny/Theft,womencomputer stolen,womencomput stolen
3439,Larceny/Theft,womentook from locked car,womentook lock car
3440,Larceny/Theft,womentook credit card,womentook credit card
3441,Larceny/Theft,womenstole wallet,womenstol wallet
3442,Larceny/Theft,womenshoplifting,womenshoplift
3443,Larceny/Theft,womenshop lifted,womenshop lift
3444,Larceny/Theft,womentook from store,womentook store
3445,Larceny/Theft,womenstole from mall,womenstol mall
3446,Larceny/Theft,womenlost it,womenlost
3447,Larceny/Theft,womenstolen bike,womenstolen bike
3448,Larceny/Theft,womenstolen motercycke,womenstolen motercyck
3449,Larceny/Theft,womenburglar,womenburglar
3450,Larceny/Theft,womenrobbery,womenrobberi
3451,Larceny/Theft,womenrobbed,womenrob
3452,Larceny/Theft,womenrobbing,womenrob
3453,Larceny/Theft,womenrobbed me with gun,womenrob gun
3454,Larceny/Theft,womenrobbed me with knife,womenrob knife
3455,Larceny/Theft,womenpickpocket,womenpickpocket
3456,Larceny/Theft,a guystole my bike,guystol bike
3457,Larceny/Theft,a guystole a bike,guystol bike
3458,Larceny/Theft,a guybike is gone,guybik gone
3459,Larceny/Theft,a guytook bike,guytook bike
3460,Larceny/Theft,a guybike,guybik
3461,Larceny/Theft,a guybike lock,guybik lock
3462,Larceny/Theft,a guystealing,guysteal
3463,Larceny/Theft,a guystole,guystol
3464,Larceny/Theft,a guybroke,guybrok
3465,Larceny/Theft,a guytheft,guytheft
3466,Larceny/Theft,a guythief,guythief
3467,Larceny/Theft,a guysteal,guysteal
3468,Larceny/Theft,a guytook it,guytook
3469,Larceny/Theft,a guycar stolen,guycar stolen
3470,Larceny/Theft,a guycar was hijacked,guycar hijack
3471,Larceny/Theft,a guyalarm in a car is going off,guyalarm car go
3472,Larceny/Theft,a guycar is gone,guycar gone
3473,Larceny/Theft,a guystole car,guystol car
3474,Larceny/Theft,a guytook car,guytook car
3475,Larceny/Theft,a guycar,guycar
3476,Larceny/Theft,a guyvan,guyvan
3477,Larceny/Theft,a guysuv,guysuv
3478,Larceny/Theft,a guytesla,guytesla
3479,Larceny/Theft,a guytoyota,guytoyota
3480,Larceny/Theft,a guyhonda,guyhonda
3481,Larceny/Theft,a guybmw,guybmw
3482,Larceny/Theft,a guymercedes,guymerced
3483,Larceny/Theft,a guytruck,guytruck
3484,Larceny/Theft,a guylock,guylock
3485,Larceny/Theft,a guybroke lock,guybrok lock
3486,Larceny/Theft,a guyopened door,guyopen door
3487,Larceny/Theft,a guySomebody broke into my house,guysomebodi broke hous
3488,Larceny/Theft,a guystole something in my apartment,guystol someth apart
3489,Larceny/Theft,a guystole something,guystol someth
3490,Larceny/Theft,a guystole something in my condo,guystol someth condo
3491,Larceny/Theft,a guybroke into my apartment,guybrok apart
3492,Larceny/Theft,a guybroke into my condo,guybrok condo
3493,Larceny/Theft,a guybreaking into that house,guybreak hous
3494,Larceny/Theft,a guybreaking into that condo,guybreak condo
3495,Larceny/Theft,a guybreaking into that apartment,guybreak apart
3496,Larceny/Theft,a guyhouse,guyhous
3497,Larceny/Theft,a guyapartment,guyapart
3498,Larceny/Theft,a guycondo,guycondo
3499,Larceny/Theft,a guystole purse,guystol purs
3500,Larceny/Theft,a guystole money,guystol money
3501,Larceny/Theft,a guytook phone,guytook phone
3502,Larceny/Theft,a guyran off after taking something,guyran take someth
3503,Larceny/Theft,a guystole belongings,guystol belong
3504,Larceny/Theft,a guyrobbed me,guyrob
3505,Larceny/Theft,a guylaptop stolen,guylaptop stolen
3506,Larceny/Theft,a guycomputer stolen,guycomput stolen
3507,Larceny/Theft,a guytook from locked car,guytook lock car
3508,Larceny/Theft,a guytook credit card,guytook credit card
3509,Larceny/Theft,a guystole wallet,guystol wallet
3510,Larceny/Theft,a guyshoplifting,guyshoplift
3511,Larceny/Theft,a guyshop lifted,guyshop lift
3512,Larceny/Theft,a guytook from store,guytook store
3513,Larceny/Theft,a guystole from mall,guystol mall
3514,Larceny/Theft,a guylost it,guylost
3515,Larceny/Theft,a guystolen bike,guystolen bike
3516,Larceny/Theft,a guystolen motercycke,guystolen motercyck
3517,Larceny/Theft,a guyburglar,guyburglar
3518,Larceny/Theft,a guyrobbery,guyrobberi
3519,Larceny/Theft,a guyrobbed,guyrob
3520,Larceny/Theft,a guyrobbing,guyrob
3521,Larceny/Theft,a guyrobbed me with gun,guyrob gun
3522,Larceny/Theft,a guyrobbed me with knife,guyrob knife
3523,Larceny/Theft,a guypickpocket,guypickpocket
3524,Larceny/Theft,that personstole my bike,personstol bike
3525,Larceny/Theft,that personstole a bike,personstol bike
3526,Larceny/Theft,that personbike is gone,personbik gone
3527,Larceny/Theft,that persontook bike,persontook bike
3528,Larceny/Theft,that personbike,personbik
3529,Larceny/Theft,that personbike lock,personbik lock
3530,Larceny/Theft,that personstealing,personst
3531,Larceny/Theft,that personstole,personstol
3532,Larceny/Theft,that personbroke,personbrok
3533,Larceny/Theft,that persontheft,persontheft
3534,Larceny/Theft,that personthief,personthief
3535,Larceny/Theft,that personsteal,personst
3536,Larceny/Theft,that persontook it,persontook
3537,Larceny/Theft,that personcar stolen,personcar stolen
3538,Larceny/Theft,that personcar was hijacked,personcar hijack
3539,Larceny/Theft,that personalarm in a car is going off,personalarm car go
3540,Larceny/Theft,that personcar is gone,personcar gone
3541,Larceny/Theft,that personstole car,personstol car
3542,Larceny/Theft,that persontook car,persontook car
3543,Larceny/Theft,that personcar,personcar
3544,Larceny/Theft,that personvan,personvan
3545,Larceny/Theft,that personsuv,personsuv
3546,Larceny/Theft,that persontesla,persontesla
3547,Larceny/Theft,that persontoyota,persontoyota
3548,Larceny/Theft,that personhonda,personhonda
3549,Larceny/Theft,that personbmw,personbmw
3550,Larceny/Theft,that personmercedes,personmerced
3551,Larceny/Theft,that persontruck,persontruck
3552,Larceny/Theft,that personlock,personlock
3553,Larceny/Theft,that personbroke lock,personbrok lock
3554,Larceny/Theft,that personopened door,personopen door
3555,Larceny/Theft,that personSomebody broke into my house,personsomebodi broke hous
3556,Larceny/Theft,that personstole something in my apartment,personstol someth apart
3557,Larceny/Theft,that personstole something,personstol someth
3558,Larceny/Theft,that personstole something in my condo,personstol someth condo
3559,Larceny/Theft,that personbroke into my apartment,personbrok apart
3560,Larceny/Theft,that personbroke into my condo,personbrok condo
3561,Larceny/Theft,that personbreaking into that house,personbreak hous
3562,Larceny/Theft,that personbreaking into that condo,personbreak condo
3563,Larceny/Theft,that personbreaking into that apartment,personbreak apart
3564,Larceny/Theft,that personhouse,personhous
3565,Larceny/Theft,that personapartment,personapart
3566,Larceny/Theft,that personcondo,personcondo
3567,Larceny/Theft,that personstole purse,personstol purs
3568,Larceny/Theft,that personstole money,personstol money
3569,Larceny/Theft,that persontook phone,persontook phone
3570,Larceny/Theft,that personran off after taking something,personran take someth
3571,Larceny/Theft,that personstole belongings,personstol belong
3572,Larceny/Theft,that personrobbed me,personrob
3573,Larceny/Theft,that personlaptop stolen,personlaptop stolen
3574,Larceny/Theft,that personcomputer stolen,personcomput stolen
3575,Larceny/Theft,that persontook from locked car,persontook lock car
3576,Larceny/Theft,that persontook credit card,persontook credit card
3577,Larceny/Theft,that personstole wallet,personstol wallet
3578,Larceny/Theft,that personshoplifting,personshoplift
3579,Larceny/Theft,that personshop lifted,personshop lift
3580,Larceny/Theft,that persontook from store,persontook store
3581,Larceny/Theft,that personstole from mall,personstol mall
3582,Larceny/Theft,that personlost it,personlost
3583,Larceny/Theft,that personstolen bike,personstolen bike
3584,Larceny/Theft,that personstolen motercycke,personstolen motercyck
3585,Larceny/Theft,that personburglar,personburglar
3586,Larceny/Theft,that personrobbery,personrobberi
3587,Larceny/Theft,that personrobbed,personrob
3588,Larceny/Theft,that personrobbing,personrob
3589,Larceny/Theft,that personrobbed me with gun,personrob gun
3590,Larceny/Theft,that personrobbed me with knife,personrob knife
3591,Larceny/Theft,that personpickpocket,personpickpocket
3592,Larceny/Theft,themstole my bike,themstol bike
3593,Larceny/Theft,themstole a bike,themstol bike
3594,Larceny/Theft,thembike is gone,thembik gone
3595,Larceny/Theft,themtook bike,themtook bike
3596,Larceny/Theft,thembike,thembik
3597,Larceny/Theft,thembike lock,thembik lock
3598,Larceny/Theft,themstealing,themsteal
3599,Larceny/Theft,themstole,themstol
3600,Larceny/Theft,thembroke,thembrok
3601,Larceny/Theft,themtheft,themtheft
3602,Larceny/Theft,themthief,themthief
3603,Larceny/Theft,themsteal,themsteal
3604,Larceny/Theft,themtook it,themtook
3605,Larceny/Theft,themcar stolen,themcar stolen
3606,Larceny/Theft,themcar was hijacked,themcar hijack
3607,Larceny/Theft,themalarm in a car is going off,themalarm car go
3608,Larceny/Theft,themcar is gone,themcar gone
3609,Larceny/Theft,themstole car,themstol car
3610,Larceny/Theft,themtook car,themtook car
3611,Larceny/Theft,themcar,themcar
3612,Larceny/Theft,themvan,themvan
3613,Larceny/Theft,themsuv,themsuv
3614,Larceny/Theft,themtesla,themtesla
3615,Larceny/Theft,themtoyota,themtoyota
3616,Larceny/Theft,themhonda,themhonda
3617,Larceny/Theft,thembmw,thembmw
3618,Larceny/Theft,themmercedes,themmerced
3619,Larceny/Theft,themtruck,themtruck
3620,Larceny/Theft,themlock,themlock
3621,Larceny/Theft,thembroke lock,thembrok lock
3622,Larceny/Theft,themopened door,themopen door
3623,Larceny/Theft,themSomebody broke into my house,themsomebodi broke hous
3624,Larceny/Theft,themstole something in my apartment,themstol someth apart
3625,Larceny/Theft,themstole something,themstol someth
3626,Larceny/Theft,themstole something in my condo,themstol someth condo
3627,Larceny/Theft,thembroke into my apartment,thembrok apart
3628,Larceny/Theft,thembroke into my condo,thembrok condo
3629,Larceny/Theft,thembreaking into that house,thembreak hous
3630,Larceny/Theft,thembreaking into that condo,thembreak condo
3631,Larceny/Theft,thembreaking into that apartment,thembreak apart
3632,Larceny/Theft,themhouse,themhous
3633,Larceny/Theft,themapartment,themapart
3634,Larceny/Theft,themcondo,themcondo
3635,Larceny/Theft,themstole purse,themstol purs
3636,Larceny/Theft,themstole money,themstol money
3637,Larceny/Theft,themtook phone,themtook phone
3638,Larceny/Theft,themran off after taking something,themran take someth
3639,Larceny/Theft,themstole belongings,themstol belong
3640,Larceny/Theft,themrobbed me,themrob
3641,Larceny/Theft,themlaptop stolen,themlaptop stolen
3642,Larceny/Theft,themcomputer stolen,themcomput stolen
3643,Larceny/Theft,themtook from locked car,themtook lock car
3644,Larceny/Theft,themtook credit card,themtook credit card
3645,Larceny/Theft,themstole wallet,themstol wallet
3646,Larceny/Theft,themshoplifting,themshoplift
3647,Larceny/Theft,themshop lifted,themshop lift
3648,Larceny/Theft,themtook from store,themtook store
3649,Larceny/Theft,themstole from mall,themstol mall
3650,Larceny/Theft,themlost it,themlost
3651,Larceny/Theft,themstolen bike,themstolen bike
3652,Larceny/Theft,themstolen motercycke,themstolen motercyck
3653,Larceny/Theft,themburglar,themburglar
3654,Larceny/Theft,themrobbery,themrobberi
3655,Larceny/Theft,themrobbed,themrob
